conceptID,concept,rank,PMID
,transition,1,23126647
,care,1,23126647
,acute,1,23126647
,acute stroke,1,23126647
,stroke,1,23126647
,myocardial,1,23126647
,myocardial infarction,1,23126647
,infarction,1,23126647
,patients,1,23126647
,hospitalization,1,23126647
,rehabilitation,1,23126647
,recovery,1,23126647
,secondary,1,23126647
,secondary prevention,1,23126647
,prevention,1,23126647
,objectives,1,23126647
,available,1,23126647
,literature,1,23126647
,evidence,6,23126647
,role,1,23126647
,coordinated,1,23126647
,transition,9,23126647
,care,18,23126647
,services,3,23126647
,patients,1,23126647
,first,1,23126647
,recurrent,2,23126647
,stroke,4,23126647
,myocardial,1,23126647
,myocardial infarction,1,23126647
,infarction,1,23126647
,review,3,23126647
,areas,1,23126647
,investigation,1,23126647
,key,1,23126647
,components,4,23126647
,improvement,2,23126647
,functional,2,23126647
,outcomes,3,23126647
,morbidity,1,23126647
,mortality,2,23126647
,quality,1,23126647
,life,1,23126647
,risks,1,23126647
,potential,1,23126647
,systems,2,23126647
,benefits,1,23126647
,characteristics,1,23126647
,data,2,23126647
,data sources,1,23126647
,sources,1,23126647
,medline(,1,23126647
,database,1,23126647
,systematic,2,23126647
,systematic reviews,1,23126647
,reviews,1,23126647
,methods,1,23126647
,studies,6,23126647
,english,1,23126647
,hospitalization,2,23126647
,well,1,23126647
,prevention,1,23126647
,results,1,23126647
,total,2,23126647
,articles,1,23126647
,abstraction,1,23126647
,interventions,5,23126647
,categories,1,23126647
,hospital,3,23126647
,support,3,23126647
,discharge,5,23126647
,initial,1,23126647
,stage,1,23126647
,process,1,23126647
,patient,1,23126647
,family,1,23126647
,family education,1,23126647
,education,1,23126647
,community,1,23126647
,level,1,23126647
,models,2,23126647
,hospital discharge,1,23126647
,chronic,1,23126647
,chronic disease,1,23126647
,disease,1,23126647
,disease management,1,23126647
,management,1,23126647
,responsibility,1,23126647
,early,2,23126647
,length,1,23126647
,adverse effects,1,23126647
,effects,2,23126647
,functional recovery,1,23126647
,recovery,1,23126647
,specialty,2,23126647
,reduced,1,23126647
,several,1,23126647
,most,2,23126647
,not,1,23126647
,consistently,1,23126647
,specific,2,23126647
,intervention,2,23126647
,improved,1,23126647
,system,1,23126647
,more,2,23126647
,difficult,1,23126647
,effect,1,23126647
,individual,1,23126647
,clinical,1,23126647
,definition,3,23126647
,component,1,23126647
,standard,3,23126647
,poorly,1,23126647
,nearly,2,23126647
,statistical,1,23126647
,benefit,2,23126647
,endpoints,1,23126647
,greatly,1,23126647
,study,3,23126647
,countries,1,23126647
,national,1,23126647
,health,1,23126647
,health care,1,23126647
,health care systems,1,23126647
,different,1,23126647
,conclusions,2,23126647
,basis,1,23126647
,consensus,1,23126647
,limited,1,23126647
,followup,1,23126647
,other,1,23126647
,sufficient,1,23126647
,findings,1,23126647
,systematic review,1,23126647
,adoption,1,23126647
,set,1,23126647
,definitions,1,23126647
,methodology,1,23126647
,selection,1,23126647
,valid,1,23126647
,nephrologists,1,23120822
,more,2,23120822
,cardiac,1,23120822
,cardiologists,1,23120822
,renal,1,23120822
,cardiovascular,6,23120822
,cardiovascular diseases,1,23120822
,diseases,2,23120822
,cardiac,2,23120822
,cardiac complications,1,23120822
,complications,2,23120822
,major,1,23120822
,causes,1,23120822
,death,2,23120822
,patients,8,23120822
