conceptID,concept,rank,PMID
,coronary,1,22500973
,coronary stenting,1,22500973
,stenting,1,22500973
,radial,1,22500973
,approach,1,22500973
,women,1,22500973
,situs viscerum inversus,1,22500973
,acute,1,22500973
,acute myocardial infarction,1,22500973
,myocardial,1,22500973
,myocardial infarction,1,22500973
,infarction,1,22500973
,situs inversus,1,22500973
,dextrocardia,1,22500973
,rare,1,22500973
,condition,1,22500973
,adults,1,22500973
,usually,1,22500973
,patients,3,22500973
,structurally,1,22500973
,normal,2,22500973
,normal hearts,1,22500973
,hearts,1,22500973
,life,1,22500973
,life expectancy,1,22500973
,expectancy,1,22500973
,incidence,1,22500973
,coronary,5,22500973
,coronary artery,1,22500973
,coronary artery disease,1,22500973
,artery,2,22500973
,artery disease,1,22500973
,disease,1,22500973
,setting,1,22500973
,similar,1,22500973
,general,1,22500973
,general population,1,22500973
,population,1,22500973
,coronary revascularization,1,22500973
,revascularization,1,22500973
,potential,1,22500973
,difficulties,1,22500973
,unusual,1,22500973
,anatomy,1,22500973
,radial,2,22500973
,radial artery,1,22500973
,effective,2,22500973
,site,1,22500973
,access,1,22500973
,interventions,1,22500973
,anatomical,1,22500973
,variations,1,22500973
,procedure,1,22500973
,more,1,22500973
,complicated,1,22500973
,cases,1,22500973
,situs viscerum inversus,1,22500973
,acute,1,22500973
,acute myocardial infarction,1,22500973
,myocardial,1,22500973
,myocardial infarction,1,22500973
,infarction,1,22500973
,successful,1,22500973
,percutaneous,1,22500973
,percutaneous coronary intervention,1,22500973
,intervention,1,22500973
,coronary angioplasty,1,22500973
,angioplasty,1,22500973
,stent,1,22500973
,application,1,22500973
,approach,1,22500973
,emergency,1,22500973
,urgent,1,22500973
,urgent care,1,22500973
,care,1,22500973
,recombinant,1,22166642
,recombinant proteins,1,22166642
,proteins,1,22166642
,muscle,1,22166642
,cardiac,1,22166642
,dysfunction,1,22166642
,suppress,1,22166642
,cardiomyocyte,1,22166642
,apoptosis,1,22166642
,rats,1,22166642
,heart,1,22166642
,heart failure,1,22166642
,failure,1,22166642
,background,1,22166642
,gene,2,22166642
,gene therapy,1,22166642
,therapy,3,22166642
,approach,1,22166642
,treatment,3,22166642
,heart,4,22166642
,heart diseases,1,22166642
,diseases,1,22166642
,experimental,1,22166642
,clinical,1,22166642
,clinical studies,1,22166642
,studies,1,22166642
,systemic,1,22166642
,systemic administration,1,22166642
,administration,1,22166642
,growth,2,22166642
,protein,3,22166642
,overexpression,1,22166642
,favorable,1,22166642
,effect,1,22166642
,cardiovascular,1,22166642
,cardiovascular function,1,22166642
,function,2,22166642
,study,1,22166642
,chronic,2,22166642
,stage,1,22166642
,myocardial,1,22166642
,myocardial infarction,1,22166642
,infarction,1,22166642
,potential,1,22166642
,therapeutic,1,22166642
,therapeutic effects,1,22166642
,effects,1,22166642
,human,2,22166642
,igf1 gene,1,22166642
,muscles,1,22166642
,coronary,2,22166642
,coronary artery,2,22166642
,artery,2,22166642
,artery ligation,1,22166642
,ligation,3,22166642
,rats,8,22166642
,methods,1,22166642
,left,1,22166642
,left coronary artery,1,22166642
,sham,3,22166642
,operation,3,22166642
,primary,2,22166642
,skeletal,1,22166642
,skeletal myoblasts,1,22166642
,myoblasts,2,22166642
,retrovirally,2,22166642
,synthesize,1,22166642
,secrete,1,22166642
,recombinant,2,22166642
,growth factor1,1,22166642
,factor1,1,22166642
,green,1,22166642
,green fluorescent protein,1,22166642
,fluorescent,1,22166642
,implantable,2,22166642
,groups,1,22166642
,group,14,22166642
,bam,3,22166642
,transplan,4,22166642
,subgroups,1,22166642
,subcutaneously,1,22166642
,syngeneic,2,22166642
,weeks,3,22166642
,hemodynamics,2,22166642
,radioimmunoassay,1,22166642
,then,1,22166642
,ventricular,2,22166642
,samples,1,22166642
,immunohistochemistry,1,22166642
,chain,1,22166642
,reaction,1,22166642
,expression,5,22166642
,bax,2,22166642
,caspase,2,22166642
,myocardium,1,22166642
,western,2,22166642
,western blotting,2,22166642
,results,1,22166642
,rat,2,22166642
,parallel,1,22166642
,vitro,1,22166642
,consistent,1,22166642
,levels,2,22166642
,significantly,3,22166642
,serum,1,22166642
,mrna,1,22166642
,mrna expression,1,22166642
,lower,2,22166642
,assay,1,22166642
,conclusions,1,22166642
,ventricular function,1,22166642
,suppresses,1,22166642
,cardiomyocyte,1,22166642
,apoptosis,1,22166642
,chronic heart failure,1,22166642
,heart failure,2,22166642
,failure,2,22166642
,method,1,22166642
,recombinant protein,1,22166642
,doppler,1,22166625
,doppler echocardiography,1,22166625
,echocardiography,1,22166625
,coronary,1,22166625
,slow,1,22166625
,slow flow phenomenon,1,22166625
,flow,1,22166625
,phenomenon,1,22166625
,background,1,22166625
,coronary,14,22166625
,slow,2,22166625
,slow flow phenomenon,1,22166625
,flow,7,22166625
,phenomenon,1,22166625
,angiographic,1,22166625
,clinical,2,22166625
,entity,1,22166625
,noninvasive,1,22166625
,techniques,1,22166625
,study,1,22166625
,value,2,22166625
,transthoracic,1,22166625
,doppler,1,22166625
,doppler echocardiography,1,22166625
,echocardiography,1,22166625
,diagnosis,1,22166625
,monitoring,2,22166625
,anterior,1,22166625
,descending,1,22166625
,lad,5,22166625
,coronary artery,2,22166625
,artery,2,22166625
,methods,1,22166625
,consecutively,1,22166625
,patients,4,22166625
,coronary arteriography,1,22166625
,arteriography,1,22166625
,normal,1,22166625
,control,2,22166625
,thrombolysis,1,22166625
,myocardial,1,22166625
,myocardial infarction,1,22166625
,infarction,1,22166625
,frame,1,22166625
,count,1,22166625
,velocities,4,22166625
,subjects,2,22166625
,hours,1,22166625
,coronary angiography,1,22166625
,angiography,1,22166625
,diastolic,3,22166625
,peak,1,22166625
,results,1,22166625
,sixty,1,22166625
,successfully,1,22166625
,baseline,1,22166625
,clinical characteristics,1,22166625
,characteristics,1,22166625
,similar,1,22166625
,groups,1,22166625
,significantly,1,22166625
,lower,1,22166625
,group,2,22166625
,control group,1,22166625
,high,2,22166625
,inverse,2,22166625
,correlation,2,22166625
,ctfc,2,22166625
,receiver,1,22166625
,characteristic,1,22166625
,roc,1,22166625
,curve,2,22166625
,area,1,22166625
,auc,3,22166625
,less,1,22166625
,half,1,22166625
,conclusions,1,22166625
,diastolic flow,1,22166625
,evaluation,1,22166625
,further,1,22166625
,investigation,1,22166625
,association,1,22166528
,ratio,1,22166528
,mortality,1,22166528
,st elevation,1,22166528
,st elevation myocardial infarction,1,22166528
,elevation,1,22166528
,myocardial,1,22166528
,myocardial infarction,1,22166528
,infarction,1,22166528
,primary,1,22166528
,percutaneous,1,22166528
,percutaneous coronary intervention,1,22166528
,coronary,1,22166528
,intervention,1,22166528
,background,1,22166528
,primary,2,22166528
,percutaneous,1,22166528
,percutaneous coronary interventions,1,22166528
,coronary,1,22166528
,interventions,1,22166528
,novel,1,22166528
,superior,1,22166528
,management,1,22166528
,strategy,1,22166528
,patients,5,22166528
,st elevation,2,22166528
,st elevation myocardial infarction,2,22166528
,elevation,3,22166528
,myocardial,3,22166528
,myocardial infarction,3,22166528
,infarction,3,22166528
,stemi,2,22166528
,study,1,22166528
,hypothesis,1,22166528
,acute,1,22166528
,acute phase,1,22166528
,phase,1,22166528
,ratio,6,22166528
,predictor,3,22166528
,prognosis,1,22166528
,methods,1,22166528
,consecutive,1,22166528
,pci,1,22166528
,single,1,22166528
,university,1,22166528
,center,1,22166528
,stratified,1,22166528
,quartiles,1,22166528
,mean,1,22166528
,results,1,22166528
,survival,2,22166528
,survival analysis,1,22166528
,analysis,2,22166528
,cumulative,1,22166528
,first,1,22166528
,quartile,6,22166528
,second,1,22166528
,third,1,22166528
,fourth,1,22166528
,log,1,22166528
,rank,1,22166528
,relative,1,22166528
,other,1,22166528
,lower,1,22166528
,quart,1,22166528
,iles,1,22166528
,highest,2,22166528
,more,2,22166528
,times,1,22166528
,likely,1,22166528
,hospitalization,1,22166528
,followup,1,22166528
,cox,1,22166528
,regression,1,22166528
,regression analysis,1,22166528
,baseline,1,22166528
,demographic,1,22166528
,clinical,1,22166528
,angiographic,1,22166528
,independent,2,22166528
,mortality,2,22166528
,hazard,1,22166528
,hazard ratio,1,22166528
,confidence,1,22166528
,confidence interval,1,22166528
,interval,1,22166528
,conclusion,1,22166528
,strong,1,22166528
,very,1,22166528
,early,1,22166528
,revascularization,1,22166528
,rosiglitazone,1,22111775
,controversy,1,22111775
,september,1,22111775
,ema,2,22111775
,statements,1,22111775
,response,1,22111775
,data,1,22111775
,use,2,22111775
,drug,4,22111775
,rosiglitazone,1,22111775
,avandia(,1,22111775
,plc,1,22111775
,london,1,22111775
,risk,2,22111775
,cardiovascular,2,22111775
,cardiovascular events,1,22111775
,events,1,22111775
,acute,1,22111775
,acute myocardial infarction,1,22111775
,myocardial,1,22111775
,myocardial infarction,1,22111775
,infarction,1,22111775
,stroke,1,22111775
,immediate,1,22111775
,suspension,2,22111775
,available,1,22111775
,europe,1,22111775
,fda,1,22111775
,short,1,22111775
,total,1,22111775
,patients,1,22111775
,type,1,22111775
,diabetes,3,22111775
,other,1,22111775
,other medications,1,22111775
,medications,1,22111775
,article,1,22111775
,review,1,22111775
,clinical,6,22111775
,clinical pharmacology,5,22111775
,pharmacology,5,22111775
,editorial,1,22111775
,board,1,22111775
,his,1,22111775
,insight,1,22111775
,university,3,22111775
,cambridge,1,22111775
,phd,1,22111775
,then,1,22111775
,hong kong,1,22111775
,lecturer,1,22111775
,later,1,22111775
,professor,1,22111775
,chair,1,22111775
,therapeutics,1,22111775
,main,1,22111775
,research,1,22111775
,interest,1,22111775
,cardiovascular diseases,1,22111775
,diseases,1,22111775
,risk factors,1,22111775
,factors,1,22111775
,hypertension,1,22111775
,metabolic,1,22111775
,metabolic syndrome,1,22111775
,syndrome,1,22111775
,vasoactive,1,22111775
,peptides,1,22111775
,adrenomedullin,1,22111775
,urotensin,1,22111775
,urotensin ii,1,22111775
,interested,1,22111775
,clinical trials,1,22111775
,meta,1,22111775
,drug utilization,1,22111775
,utilization,1,22111775
,medication,1,22111775
,safety,1,22111775
,editor,2,22111775
,open,1,22111775
,journal,2,22111775
,executive,1,22111775
,british,1,22111775
,time,1,22069414
,time intervals,1,22069414
,intervals,1,22069414
,onset,1,22069414
,symptoms,1,22069414
,thrombolytic,1,22069414
,thrombolytic therapy,1,22069414
,therapy,1,22069414
,patients,1,22069414
,st segment,1,22069414
,st segment elevation,1,22069414
,st segment elevation myocardial infarction,1,22069414
,segment,1,22069414
,elevation,1,22069414
,myocardial,1,22069414
,myocardial infarction,1,22069414
,infarction,1,22069414
,stemi,1,22069414
,background,1,22069414
,coronary,4,22069414
,coronary artery,2,22069414
,coronary artery diseases,1,22069414
,artery,2,22069414
,artery diseases,1,22069414
,diseases,1,22069414
,causes,1,22069414
,early,1,22069414
,death,1,22069414
,world,1,22069414
,countries,2,22069414
,ischemic,1,22069414
,ischemic heart disease,1,22069414
,heart,3,22069414
,heart disease,1,22069414
,disease,2,22069414
,responsible,2,22069414
,half,1,22069414
,entire,1,22069414
,mortalities,1,22069414
,deaths,2,22069414
,year,2,22069414
,percent,1,22069414
,due,1,22069414
,coronary artery disease,1,22069414
,artery disease,1,22069414
,acute,2,22069414
,acute coronary syndromes,1,22069414
,syndromes,1,22069414
,progressive,1,22069414
,atherosclerotic,2,22069414
,process,1,22069414
,rupture,1,22069414
,atherosclerotic plaque,1,22069414
,plaque,1,22069414
,thrombosis,1,22069414
,study,3,22069414
,time,4,22069414
,time intervals,1,22069414
,intervals,1,22069414
,onset,3,22069414
,heart attack,2,22069414
,attack,2,22069414
,symptoms,4,22069414
,thrombolytic,3,22069414
,thrombolytic therapy,2,22069414
,therapy,2,22069414
,patients,3,22069414
,st segment,1,22069414
,st segment elevation,1,22069414
,st segment elevation myocardial infarction,1,22069414
,segment,1,22069414
,elevation,1,22069414
,myocardial,1,22069414
,myocardial infarction,1,22069414
,infarction,1,22069414
,stemi,2,22069414
,hospitals,2,22069414
,university,2,22069414
,medical,4,22069414
,medical sciences,2,22069414
,sciences,2,22069414
,methods,1,22069414
,subjects,1,22069414
,first,2,22069414
,categorized,1,22069414
,random,1,22069414
,random sampling,1,22069414
,sampling,1,22069414
,cardiac,1,22069414
,cardiac care,1,22069414
,care,3,22069414
,units,1,22069414
,months,1,22069414
,information,1,22069414
,records,1,22069414
,data,2,22069414
,demographic,1,22069414
,results,1,22069414
,mean,1,22069414
,time interval,2,22069414
,interval,3,22069414
,action,1,22069414
,order,1,22069414
,medical care,2,22069414
,admission,3,22069414
,emergency,4,22069414
,emergency unit,3,22069414
,unit,3,22069414
,administration,1,22069414
,thrombolytic drug,1,22069414
,drug,1,22069414
,conclusions,1,22069414
,arrival,1,22069414
,better,1,22069414
,condition,1,22069414
,other,2,22069414
,studies,2,22069414
,revascularization,1,22043209
,strategy,1,22043209
,patients,1,22043209
,diabetes,1,22043209
,stable,1,22043209
,coronary,1,22043209
,coronary artery,1,22043209
,coronary artery disease,1,22043209
,artery,1,22043209
,artery disease,1,22043209
,disease,1,22043209
,complex,1,22043209
,decision,1,22043209
,diabetes,1,22043209
,diabetes mellitus,1,22043209
,increases,1,22043209
,cardiovascular,1,22043209
,cardiovascular morbidity,1,22043209
,morbidity,1,22043209
,mortality,1,22043209
,diabetics,2,22043209
,stable,2,22043209
,coronary,2,22043209
,coronary artery,2,22043209
,coronary artery disease,2,22043209
,artery,2,22043209
,artery disease,2,22043209
,disease,2,22043209
,best,2,22043209
,therapeutic,2,22043209
,option,1,22043209
,current,1,22043209
,studies,1,22043209
,surgical,1,22043209
,percutaneous,1,22043209
,revascularization,1,22043209
,unable,1,22043209
,significant,1,22043209
,advantage,1,22043209
,strategy,2,22043209
,other,1,22043209
,prevention,1,22043209
,cardiac,1,22043209
,cardiac death,1,22043209
,death,1,22043209
,myocardial,1,22043209
,myocardial infarction,1,22043209
,infarction,1,22043209
,account,1,22043209
,clinical,1,22043209
,angiographic,1,22043209
,information,1,22043209
,well,1,22043209
,risks,1,22043209
,type,1,22043209
,treatment,1,22043209
,decision,1,22043209
,still,1,22043209
,complex,1,22043209
,oxygen,1,22043202
,cardiac,1,22043202
,cardiac ischemia,1,22043202
,ischemia,1,22043202
,concepts,1,22043202
,oxygen,11,22043202
,critical,2,22043202
,role,2,22043202
,almost,1,22043202
,forms,1,22043202
,life,1,22043202
,primary,1,22043202
,primary site,1,22043202
,site,1,22043202
,cellular,3,22043202
,oxygen consumption,1,22043202
,consumption,1,22043202
,mitochondrial,1,22043202
,mitochondrial electron transport,1,22043202
,mitochondrial electron transport chain,1,22043202
,electron,1,22043202
,electron transport,1,22043202
,electron transport chain,1,22043202
,transport,2,22043202
,chain,1,22043202
,addition,1,22043202
,substrate,1,22043202
,various,1,22043202
,enzymes,1,22043202
,cellular homeostasis,1,22043202
,homeostasis,1,22043202
,knowledge,1,22043202
,biochemistry,1,22043202
,physiology,1,22043202
,oxygen transport,1,22043202
,century,1,22043202
,old,1,22043202
,recent,2,22043202
,development,1,22043202
,biophysical,1,22043202
,biophysical chemistry,1,22043202
,chemistry,1,22043202
,tissue,2,22043202
,tissue oxygenation,1,22043202
,oxygenation,1,22043202
,highly,1,22043202
,process,1,22043202
,mammals,1,22043202
,perturbation,1,22043202
,normal,1,22043202
,normal oxygen supply,1,22043202
,oxygen supply,2,22043202
,supply,2,22043202
,diseases,1,22043202
,tumorigenesis,1,22043202
,myocardial,1,22043202
,myocardial infarction,1,22043202
,infarction,1,22043202
,stroke,1,22043202
,available,1,22043202
,information,1,22043202
,mitochondria,1,22043202
,signals,1,22043202
,reactive,1,22043202
,reactive oxygen species,1,22043202
,species,1,22043202
,generation,1,22043202
,turn,1,22043202
,transcription,1,22043202
,transcription factor,1,22043202
,factor,1,22043202
,stabilization,1,22043202
,elicits,1,22043202
,genetic,1,22043202
,response,1,22043202
,diminished,1,22043202
,level,1,22043202
,view,1,22043202
